cleaned_text,sentimen
salah satu alasan tagar indonesiagelap ini lho,netral
foto bersama penuh kemesraan antara jokowi prabowo puan maharani dan surabaya berpakaian seragam loreng sementara para mahasiswa dan rakyat sipil sibuk aksi demo indonesiagelap,netral
indonesiagelap ini harus diviralkan sih jangan sampai orangg terlalu fokus sama pertamina danantara,negatif
spesifikasinya sama sama bbm ron di sulap jadi ron pertamina pertamax oplosan indonesiagelap,netral
iya lho baku hantam deh kalian berdua dah bener ini indonesiagelap jangan ditiru ya selamat pagi salam jumat sehat untuk semua para pejuang keluarga,negatif
waktu jadi walikota solo terus pindah ke jakarta jadi insinyur aja yaudah aneh sih menurut saya ini bukan soal teliti dan tidak teliti tapi pembiaran yg dilakukan membuat indonesiagelap,negatif
korupsi di pt angkutan sungai danau dan penyebrangan ferry indonesia mencapai korupsilah selagi sempat hidup jokowi hidup jokowi indonesiagelap,netral
bacot kades kemarin yang presiden aja ga berani nangkap maksudnya bukan dia tapi bohirnya yang presiden ga brani masak pesan sperti itu pada gak ngerti dan terbukti pada ga berani indonesiagelap,negatif
weleeeh jaksa bilang begini dewan bilang begitu hayo saling oplos rakyat nonton pajaknya bayar dagelan ditantang tuh hukum letoy indonesiagelap,negatif
bangsa bangsat indonesiagelap tagar indonesiagelap,negatif
ok gas ok gas situ kan dukung tagar indonesiagelap,netral
sppi gak jelas banget belum perang malah sudah kalah aja panitia gimana sih gak bilang dari awal kalau gak jelas kirain bakal buka lapangan pekerjaan besar besaran yang berkas lengkap dan daftar di awal malah gak lolos indonesiagelap sppi tidak transparansi tidak adil,negatif
pantesan gerakkanya tidak terkontrol mondar mandir yang dipegang cuma susu sambil plenga plenge tagar indonesiagelap tagar fufufafaaibnasional,negatif
mbg makan bau gratis tagar indonesiagelap,netral
spbu kerang rame imbas korupsi di pertamina gokil hampir tembus triliun yah kabarnya sebagai pemakai bahan bakar kerang ini kudu siap ngantri juga salamwaras dari dulu sudah tagar kaburajadulu ke si kerang abis daripada motor gw ikutan tagar indonesiagelap yg ada soak nanti mesinnya,negatif
simpan jangan sampai nguap setelah berhadapan dengan kekuatan besar termasuk csr bi ke sejumlah anggota dpr rusak rusak mereka gak malu bikin indonesiagelap ya kan semangat tantangan makin berat,negatif
bukan tentang panci wajan dan tetek bengek tapi tentang tangga menuju pucuk yang selalu menimbulkan keributan tagar indonesiagelap tagar fufufafaaibnasional,netral
para aparat ini masih stuck di tahun lama kah bener mesti reformasi polri indonesiagelap,negatif
di sini pejabat korup malah dilindungi dan banyak temen syarat sekubu politik kalau seberangan ya sorry yee ndassmu langsung masuk penjara walau gak terbukti kasusnya kayak tl ripdemocrazy tagar indonesiagelap tagar darkindonesia,negatif
masyarakat sudah mulai beralih dari pertamina ke shell bank bumn ke bank swasta telkomsel ke xl saham dalam negeri ke crypto sepertinya prabowo ada benarnya negara ini bubar indonesiagelap,netral
yakin pemerintah nggak tau korupsi pertamina ini jauh hari mobil kepresidenan aja ngisinya di shell kenapa keluarin kartu ini karena hari kerja isinya lawakan makanya dikeluarin berita bagus indonesiagelap,negatif
gw harus gimana ikut demo disemprot water canon sampai gas air mata juga di piting tagar indonesiagelap,negatif
